id,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29
N1498,-0.012167281,-0.003133012,0.022516984,-0.025721021,-0.020411368,-0.0010180287,0.03547818,-0.0013997499,0.003430847,-2.222075,0.012035605,0.0141651,-0.012778873,0.018374521,0.009679021,-0.018220607,2.387014,-0.0039642663,-0.028580455,-0.02062794,0.017569505,-0.011727628,-0.04258503,0.0013561329,-0.013951637,-0.014924061,-0.01893299,0.00934341,-0.00485239,0.004006566
N1598,-0.0036681015,-0.00564077,0.016155405,-0.01191834,-0.012956948,0.004888924,0.032415807,-0.005600713,-0.005592325,-2.2366595,0.023202483,0.011322841,-0.01618772,0.0063899253,0.0049032173,-0.017949898,2.1616786,0.004633635,-0.0075256745,-0.013551409,0.017648906,-0.0035063429,-0.035115197,-0.008394141,-0.0100482255,-0.006930464,-0.025776472,0.020799488,-0.012241688,0.016004972
N3993,-0.004375644,-0.0038237767,0.016147941,-0.014510425,-0.012754708,0.003897572,0.03344894,-0.005510226,-0.0057407757,-2.1337552,0.020653553,0.009175498,-0.016657121,0.005946054,0.004521145,-0.0156148635,2.0689256,0.0054167667,-0.0074575203,-0.011793668,0.01811276,-0.0023186821,-0.03415961,-0.008951636,-0.007848091,-0.0059558414,-0.024903618,0.019386299,-0.010027047,0.014949088
N2645,-0.01925813,0.024045812,0.038557537,0.042996332,-0.000763542,0.03766232,-0.012509617,-0.017050624,0.0068509933,-1.1481854,0.014813576,-0.013034865,0.0134012,-0.02966591,0.031972054,-0.016487937,3.0129483,-0.018014804,-0.03276486,-0.02127701,0.031394493,0.028938508,0.03234045,0.02320319,-0.007063063,-0.014060477,-0.022434883,0.014955129,0.01167588,0.0036472376
N4652,-0.021050707,0.025228322,0.038434245,0.041375294,-0.0019901656,0.03389071,-0.009437497,-0.012764784,0.011291143,-1.1011313,0.01958824,-0.012754799,0.014762719,-0.03240951,0.030097036,-0.01710289,2.9027274,-0.017982485,-0.033972293,-0.022734394,0.031359795,0.026865298,0.028176054,0.023665747,-0.008153662,-0.010503963,-0.022410244,0.01437696,0.011062359,0.005626574
N2108,-0.0114764925,-0.0015985831,0.02163494,-0.024931664,-0.019022819,0.0018740697,0.03424055,-0.002013065,0.0007636361,-2.1223729,0.007899523,0.013380587,-0.014061134,0.015469805,0.010445813,-0.016950205,2.2786293,-0.00068634143,-0.025903638,-0.016835887,0.02039126,-0.00797988,-0.03833732,-0.003549242,-0.01285056,-0.013917604,-0.020071842,0.010529364,-0.00524462,0.0040740743
N1175,-0.021435978,0.0043009133,0.009155285,-0.024328714,-0.009222665,-0.020459196,0.03186932,0.016222816,0.021233356,-0.15019378,0.022740513,0.0021697208,0.00027867407,-0.0052708117,1.763925e-05,0.006713424,0.2512772,-0.003904886,-0.021944493,-0.0109593505,-0.013369679,-0.013676652,-0.030679815,0.023689615,0.013726561,0.01602878,0.0003533857,-0.018822988,0.001356788,0.006659512
N4794,-0.0071028527,-0.0027867493,0.018822487,-0.018741518,-0.017151624,0.0012513502,0.03447201,-0.0011748876,1.0471791e-05,-2.136489,0.019118685,0.013040569,-0.014878658,0.008813011,0.006918987,-0.017635845,2.1154811,0.0015354422,-0.01713125,-0.015210151,0.019588862,-0.00469515,-0.0388516,-0.005901815,-0.0110605545,-0.008359291,-0.024626337,0.015620946,-0.009381387,0.011849893
N4383,-0.018118665,0.0128853265,0.011409277,-0.031244114,-0.008485037,-0.05147305,0.043708585,0.050344057,0.07620836,1.3402579,0.07086426,0.01159532,0.052883055,-0.022420343,-0.014302302,-0.0063066054,0.6609855,-0.00883913,-0.047759976,-0.02494622,-0.04033747,0.0084764585,-0.035951886,0.013940733,-0.0027717259,0.04221858,-0.0038871812,0.009753893,0.022669034,-0.0014949013
N3792,-0.029300742,0.041716617,0.04011494,0.016926453,-0.01336233,-0.0012896154,0.018647682,0.022449482,0.050477892,-0.64958405,0.06019603,-0.009575591,0.018919006,-0.049017772,0.020875603,-0.017641477,1.7742428,-0.020788733,-0.04404167,-0.025823973,0.03700233,0.018414041,-0.02055988,0.026194487,-0.007792227,0.016135145,-0.03534179,0.0059771882,0.0018462222,0.023869336
N284,-0.020332066,0.02202495,0.048866536,0.010867638,0.021575416,0.06986894,-0.008551984,0.002441287,-0.008130038,1.237951,-0.052492663,-0.0071203746,0.0032966603,-0.025984146,0.050706297,0.004904912,-3.360037,-0.03666726,-0.01776267,-0.015117147,0.043696616,0.021155717,-0.027411692,0.02367785,-0.023648437,-0.062995225,-0.02089722,-0.010235988,-0.00074446574,0.051767506
N3830,-0.026825393,0.011102047,0.011342136,-0.013887057,-0.0063583953,-0.016568685,0.027237559,0.018990286,0.026931116,-0.09004638,0.025334246,0.0003431104,0.0072798766,-0.020391926,0.0048858053,0.006817328,0.059477292,-0.0047183125,-0.026181841,-0.0150681,-0.008946037,-0.012344608,-0.026542135,0.026503196,0.005855238,0.018782806,-0.0012477385,-0.014338549,0.0012594089,0.01306281
N886,-0.030447591,0.0005993233,0.016182674,-0.011218371,-0.006538513,-0.018204028,0.023525216,0.010547381,0.020129835,-0.25352973,0.030917931,-0.001461722,0.010964255,-0.014699834,0.007164976,0.008561164,-0.45528215,0.0069122766,-0.01536469,-0.019611819,-0.008741137,-0.009707637,-0.0078082616,0.014261875,0.0067717154,0.020570723,-0.0076542394,0.00031504314,-0.0006515868,0.024755714
N2537,0.00026203133,-0.0053500626,0.016712286,-0.012352829,-0.011716266,0.0045047845,0.033275504,-0.0066759083,-0.008812213,-2.2620406,0.023028594,0.009334296,-0.019647405,0.007385214,0.0044322764,-0.019088656,2.2195024,0.0063585737,-0.0020998968,-0.009593349,0.020659223,-0.00062448904,-0.03500685,-0.010379514,-0.0074869134,-0.0068175243,-0.027200408,0.021346757,-0.011831511,0.017127646
N1958,0.00021504238,-0.0064619873,0.016403688,-0.011912298,-0.011060116,0.005550779,0.03137797,-0.0060238335,-0.00899585,-2.2412326,0.019772813,0.010387097,-0.019856907,0.009162919,0.005182169,-0.019998547,2.252815,0.0052969204,-0.0028639827,-0.009261351,0.01966688,-0.0016679885,-0.034411494,-0.009012427,-0.00721886,-0.008424944,-0.025340833,0.019336237,-0.010997783,0.01600027
N4283,0.0002749618,-0.006050836,0.016434003,-0.011543424,-0.011293429,0.0042689294,0.032613814,-0.006273987,-0.007962594,-2.2712388,0.023955204,0.009863444,-0.01912186,0.0075268643,0.00431403,-0.019927084,2.2273319,0.0054986253,-0.0022465042,-0.010136806,0.019404404,-0.0016917335,-0.035736416,-0.008949503,-0.007934272,-0.0069376435,-0.026699398,0.021091163,-0.012057301,0.017673712
N4243,-0.030829126,0.008375093,0.013954876,-0.011514897,-0.007923928,-0.018870978,0.027229136,0.015723672,0.027052341,-0.3298214,0.03428418,-0.0015698057,0.011448798,-0.021262858,0.0042541935,0.008473496,0.1308205,-0.0047507617,-0.025751844,-0.02135014,-0.014064761,-0.013950816,-0.027947452,0.027327674,0.009059212,0.019496052,-0.0031617265,-0.008065005,0.0012706947,0.01805488
N1054,-0.018082866,0.015907487,0.022045951,-0.008446228,-0.006969384,0.0033966843,0.021658016,0.0003948044,0.010226525,-0.89640075,0.016954735,-0.0067254864,-0.0050654793,-0.014467565,0.012640443,-0.0014756043,1.2297045,-0.0036018626,-0.019403482,-0.008041303,0.014507789,0.011445327,-0.014172616,0.009825336,0.01243407,0.0037369367,-0.01934592,0.0038183725,0.004165737,0.012805787
N4674,-0.015376925,0.013989424,0.0037747696,-0.021049049,-0.007776539,-0.0051789526,0.033412166,0.026702031,0.011222139,1.1540444,-0.004229038,0.014628928,-0.018669017,-0.014507763,0.011797927,0.0031596385,-1.132231,0.0057733436,-0.0066634556,0.012124785,0.023950018,-0.0013257107,-0.0053865975,-0.010146396,-0.008593561,0.019328833,-0.0061631026,-0.028643182,-0.016272347,0.0018960093
N2380,-0.01724549,0.0012236852,0.022464126,-0.015792076,-0.013091645,0.0005292706,0.029264353,-0.0037172623,0.0030623898,-1.6404029,0.014157653,0.0029562078,-0.006410356,0.0055379067,0.010177728,-0.009848015,1.9472883,-0.0026275222,-0.022203112,-0.018379647,0.009360094,-0.005441693,-0.02656874,0.007620077,-0.0019531287,-0.0067997165,-0.0147759905,0.00767155,0.0010199882,0.0067248195
N4879,-0.01914276,-0.005162713,-0.0055410657,-0.031830452,-0.012538933,-0.024813721,0.034285948,0.032524697,0.026066368,0.81568587,0.019956395,0.012241643,-0.004587522,0.0050161052,-0.017779706,0.007747694,-0.25449944,0.002511302,-0.025618462,-0.008649654,-0.027802888,-0.023676947,-0.031943638,0.0063400967,0.0138214715,0.02088849,0.0142096365,-0.029792095,0.0014875568,-0.004127588
N1310,-0.004778588,-0.0051897983,0.017854529,-0.014123945,-0.014729307,0.0011720918,0.035524093,-0.002796866,-0.0011053756,-2.3562624,0.02859987,0.013416361,-0.013459394,0.0070839925,0.0045565986,-0.020058274,2.27635,0.0029397728,-0.009429165,-0.017333422,0.017906293,-0.0055192425,-0.041008223,-0.0062821056,-0.014169268,-0.005684357,-0.026920721,0.022221236,-0.013453741,0.01740615
N2590,-0.007681709,-0.0025905734,0.019727381,-0.016075436,-0.01672808,0.0029839594,0.03443013,-0.0018393043,-3.1818636e-05,-2.2806892,0.0212522,0.013043329,-0.01331518,0.00830033,0.0068036406,-0.018998474,2.3185427,0.0011950452,-0.017064324,-0.017734563,0.020472359,-0.005655408,-0.03916562,-0.0052893967,-0.014138166,-0.008553417,-0.024391357,0.017634496,-0.010029737,0.011966695
N4534,-0.03176171,0.0021487572,0.013351945,-0.008387519,-0.0059107086,-0.022972038,0.022933021,0.014257293,0.023543423,-0.38442847,0.035587747,0.0013943017,0.013425135,-0.013578801,0.005478161,0.012084242,0.049899496,-0.0022762162,-0.019213434,-0.02453116,-0.02389333,-0.018476758,-0.024568982,0.034323078,0.014892811,0.018215824,0.00047648232,-0.008137229,-0.0015563276,0.02348368
N2534,-0.0073972493,-0.004210458,0.01983744,-0.009629998,-0.013458726,0.0014775796,0.03270311,-0.0013278443,0.00032285228,-2.1974509,0.027723096,0.011299059,-0.009606475,0.004751344,0.0058927094,-0.019993462,2.3071811,0.0017802804,-0.01067979,-0.019201858,0.015116196,-0.0060173087,-0.037276193,-0.0007154951,-0.013091434,-0.0053676376,-0.023230888,0.019479832,-0.009449391,0.016381238
N3659,2.6559457e-05,-0.007624475,0.016278362,-0.0150437,-0.014227658,0.007353979,0.03244967,-0.007665515,-0.00906666,-2.4348497,0.017172445,0.0135837495,-0.021941107,0.013962329,0.0055299276,-0.021918789,2.4211662,0.0034477569,-0.008798304,-0.01165073,0.021593347,-0.004264758,-0.037472002,-0.010556446,-0.011591636,-0.013307958,-0.026486814,0.01953684,-0.01282642,0.0128168855
N444,-0.0020071976,-0.0065356153,0.016232155,-0.01463097,-0.014102076,0.00928076,0.031380363,-0.008925155,-0.009812857,-2.35616,0.013557669,0.012170404,-0.021124639,0.012957749,0.0060878913,-0.02036431,2.3862257,0.0040828823,-0.010853486,-0.012110067,0.021238964,-0.004056647,-0.033979952,-0.010945305,-0.011703078,-0.014327856,-0.025557771,0.019340858,-0.010908373,0.011203306
N838,-0.008520251,-0.00226474,0.025299631,-0.0057885507,0.00052511226,0.0051421346,0.006581725,0.0057626925,0.025621677,-0.9403741,0.010728706,0.0014110375,0.009522873,-0.014853574,0.016979126,-0.010180594,-1.2283386,-0.000328389,-0.026427982,-0.009168325,0.012863383,-0.0028021894,-0.00083164964,0.016524646,-0.006821284,0.0036682903,-0.017028842,0.0043006307,0.0075278487,0.018024921
N3260,-0.019577092,0.0029639448,0.021344652,-0.014492197,-0.01117684,-0.007089656,0.03003024,0.0057480596,0.012796152,-1.352277,0.017862692,0.0031734407,0.0012778966,-0.0005297726,0.0073685,-0.010277087,1.6950023,-0.003561621,-0.022768559,-0.020078132,0.0032957643,-0.011070274,-0.031397015,0.014810892,-0.0054657515,-0.0009437464,-0.009305981,0.003705356,0.006209582,0.009327307
N4441,-0.028083524,0.004088133,0.013992021,0.0038607167,-0.0039946884,-0.016410973,0.012046994,0.015541021,0.029356254,-0.42963082,0.04182378,0.0045501944,0.015764587,-0.01709935,0.009479875,0.010419824,-0.22761752,-0.007251157,-0.023870373,-0.025803616,-0.020512179,-0.01895862,-0.017725702,0.0399375,0.013704106,0.016341675,-0.0027728342,-0.010981348,-0.0036589168,0.027399302
N1813,0.027080765,0.018687429,0.03294604,0.13590576,0.053648565,0.10764781,-0.11150018,-0.13262063,-0.12400796,1.8449699,-0.05861845,-0.073871955,-0.029566284,0.04114985,0.04008563,0.048097454,4.174836,0.028559955,0.10480764,0.03920277,0.014454365,0.06617417,0.14537723,-0.008772014,0.05905354,-0.06395008,0.009254499,0.03537186,0.024638658,-0.043359794
N2879,-0.02357435,0.01829949,0.029659566,0.0003469875,-0.0094671035,0.0021256832,0.018179322,0.0018589664,0.018205585,-0.8848206,0.029231705,-0.0071258936,0.003131466,-0.019266464,0.018235005,-0.0079897605,1.7073169,-0.010886053,-0.027650775,-0.01682191,0.016868107,0.011570198,-0.0087527605,0.018961627,0.00821098,0.0054045953,-0.020760968,0.0041081356,0.0042148586,0.012062972
N3422,-0.02398058,0.02995162,0.007948818,0.0020976216,-0.007899527,-0.032627948,0.02648113,0.04895276,0.08834439,1.0959089,0.078578964,0.007844904,0.06398046,-0.056010213,-0.0100810435,-0.006651597,0.56072855,-0.018297648,-0.057978176,-0.03399669,-0.024719775,0.004589569,-0.02676057,0.02365908,-0.024209842,0.039174106,-0.012267075,0.011064434,0.01696835,0.0021016747
N1165,-0.03278132,0.0010141828,0.025887042,0.0026860274,-0.003264782,-0.015395876,0.017499782,0.01158113,0.031242894,-0.39809874,0.043625105,-0.0050464366,0.023350518,-0.029511243,0.013651645,-0.0047404915,-0.6668464,0.009246611,-0.018427271,-0.028333819,0.0027160607,-0.008186361,0.0062506553,0.015488952,-0.008638879,0.024913905,-0.011950643,0.012046913,0.0017713159,0.0296863
N2298,-0.008026041,0.006615233,0.027067006,0.020282406,0.0045340178,0.005518607,-0.0013621263,-0.018192114,0.0054622814,1.3424267,0.022164095,-0.021156114,0.017629646,-0.0008516684,0.010323452,0.0023402292,2.0000026,0.011457698,0.0071092225,-0.01700487,-0.0060713664,0.019752534,0.037159633,0.014986906,0.0142590795,0.0046721585,-0.008539001,0.017669715,0.012870871,-0.0045445953
N2675,-0.008415064,0.0048359404,0.033329464,0.023957323,0.0050414153,0.01234937,-0.0032923268,-0.025322186,-0.0028429283,0.9744473,0.015722636,-0.025830071,0.014266922,0.0008700751,0.016522793,-0.0035484545,2.3370287,0.010279596,0.0060887844,-0.015685711,0.0006862171,0.02570006,0.041845296,0.013593728,0.01296249,-0.0023238976,-0.010639236,0.020479431,0.015409119,-0.003900622
N530,-0.02507531,0.004617928,0.015137071,-0.008189715,-0.0032505952,-0.020451942,0.018438768,0.014588099,0.027926335,-0.6711322,0.03567845,0.0062901974,0.016486201,-0.012882546,0.008773252,0.011361171,-0.008582719,-0.0065267724,-0.01890111,-0.02247846,-0.021578941,-0.012852553,-0.027903609,0.037218727,0.015302904,0.013533896,-0.0058659287,-0.0053552,-0.0027835201,0.028537704
N1977,-0.030472027,0.04686591,0.04326969,0.019193806,-0.011785843,4.691258e-05,0.017225761,0.02366925,0.053492077,-0.5550523,0.061407488,-0.011216852,0.021972854,-0.05416382,0.024963178,-0.01818218,1.8395531,-0.022490293,-0.04480732,-0.025311746,0.04083362,0.023252716,-0.018265888,0.027845746,-0.0062893815,0.017393067,-0.039498854,0.0056012347,0.0021840464,0.024298696
N357,-0.015774455,0.003974099,0.016648326,-0.013168683,-0.0007972298,0.0041301865,0.014440594,-0.009237095,0.0027623065,-1.0113419,0.0083781,0.00076199323,-0.005161995,-0.0016143136,0.014951929,0.0051607117,1.1775293,-0.010325586,-0.019172393,-0.006971235,-0.0060102604,0.008081159,-0.0066621695,0.023261208,0.025513563,-0.0017505923,-0.0097799385,-0.0032537486,0.0037217718,0.003928502
N515,-0.033482105,0.025176339,0.008341445,0.009113862,-0.0062735854,-0.02701736,0.023283245,0.038936414,0.07144248,0.58908236,0.07041514,0.0012194812,0.048720814,-0.05312562,-0.006188369,-0.0017125867,0.13254191,-0.014437042,-0.05171465,-0.03731167,-0.02103574,-0.011868322,-0.022625376,0.038091246,-0.016665231,0.0361797,-0.0057483716,0.0011479461,0.011125357,0.014094131
