id,dim0,dim1,dim2,dim3
N442,-0.6696716,-0.592989,0.41812852,-0.101121165
N2424,-0.6288526,0.38151905,-0.48042715,0.32468545
N3420,0.27132782,-0.051890597,-0.0831824,-0.23176529
N478,-3.0596178,0.15359908,1.0466331,-0.028109094
N4202,-2.6430144,-1.7169527,-0.108479574,1.9969883
N3169,-2.662581,-1.8260453,0.058636665,2.1800737
N2273,0.55874234,-0.315281,0.3790409,-0.9835914
N3906,-1.0186105,0.4055414,-0.57470816,-0.35126796
N4487,-0.7310517,-1.1996411,1.311352,0.5565363
N4334,-1.3252327,-1.7158455,-4.431122,0.19768062
N715,-1.5810759,-2.9124217,-6.2638884,-0.3064334
N3419,-1.7835476,-3.0163496,-6.0080447,-0.5945719
N351,-1.6122587,-2.8651857,-5.6247244,-0.6460545
N2,-1.5192413,-2.903328,-6.023115,-0.574871
N4463,-1.4900656,-2.9072049,-5.966907,-0.5699822
N4994,-1.8478583,-2.9960415,-6.0378966,-0.50205415
N507,-1.7958417,-2.118092,-4.8714213,0.20894001
N1170,-1.6647474,-2.8551052,-6.2510424,-0.2201328
N1885,-1.5160263,-1.8810732,-4.745785,0.1590295
N2459,-1.8044353,-3.2053792,-6.16499,-0.47648448
N1833,-1.9057114,-2.940877,-6.154939,-0.45507842
N2444,-1.8000869,-2.9783351,-6.183815,-0.42396757
N3302,-1.7883629,-3.1771314,-6.1538982,-0.49334332
N3058,-1.3814071,-2.2118106,-5.366201,-0.31111422
N1597,-1.564587,-2.8561122,-5.859029,-0.35002512
N3841,-1.6371444,-2.9282272,-6.101051,-0.39430523
N133,-1.6298194,-2.8375864,-6.1513805,-0.4190201
N2860,-1.7288077,-3.2169816,-6.429734,-0.43389535
N578,-1.7249935,-2.2019506,-4.8920546,0.30867854
N1302,-1.7695686,-2.3415256,-4.995476,0.3810558
N2499,-1.5689541,0.48367542,1.0694042,-0.53340334
N4225,-0.7619913,0.4156217,0.059364535,-0.15494359
N2625,-1.5449346,-2.1339107,-4.2049785,0.11881074
N4258,0.2866209,1.3455222,0.6999382,0.5757642
N354,-0.69628173,0.25554094,-1.5147686,-0.317254
N1187,-0.4164961,-0.0076217875,-0.24543053,-0.00029944256
N3980,0.3301258,0.54656285,1.5223382,-1.0060217
N15,-0.01662457,1.1529995,-0.697798,-0.7858848
N4515,-1.1373819,0.079529345,1.4855717,0.13557318
N2433,-1.2139767,-0.036107548,1.5178674,0.13981716
N4221,-1.1699507,-0.35417795,-2.101377,-0.4660442
N2211,-1.5494455,-0.6244269,-2.5103064,-0.68763727
N1709,-0.8501909,-0.03399948,2.3457224,-0.2443254
N1090,1.1221126,-0.58274573,-2.8568122,-1.5289346
N3986,-0.059559833,-0.21404588,0.9064721,-0.30504134
N3180,0.26124522,-0.3652341,1.299983,-0.96811
N3828,-0.83391005,0.65425843,-0.5919611,0.17265017
N3917,-1.8629291,0.50942457,1.9967281,-3.1281257
N3412,0.081268065,0.22182247,-0.048075665,0.044400167
N2031,-0.7969367,-0.14546701,2.2524416,-0.10143421
N4943,-1.4183729,-0.48850498,1.3501225,-0.009307954
N496,-0.015717298,0.7424511,-0.123246,0.34557784
N3160,0.20261088,0.94290304,0.7952376,0.27775413
N466,0.11116997,0.5889688,0.073294796,-1.5633737
N947,1.1302401,-0.45939377,-0.40570638,0.42794737
N2212,4.391819,0.08868352,-0.012907542,-0.38104
N747,-2.2928813,-0.674554,0.68397677,-0.29995686
N437,-1.0265576,-0.0076623037,-0.20246416,-0.20831463
N4345,-1.9416934,0.18336865,0.7970065,0.13011773
N4219,0.6824342,-0.2332085,-0.16286728,0.74505645
N1691,0.045830026,-0.05104217,-0.12999389,0.34124517
N4703,-3.7549062,-0.08898041,6.2347918,2.475887
N2169,-3.2105672,-0.121018864,5.73428,2.3454163
N3097,0.6802247,0.30191916,-0.39817175,-0.3718723
N366,-0.5226869,0.42217705,-0.338961,0.64968747
N4684,-1.27176,-0.26697454,1.2620534,0.11348784
N2183,-1.3897753,-0.11213317,1.3344672,0.022093225
N2520,-1.1778637,-0.55339,1.2791104,-0.12570536
N1848,-5.225353,-1.4061178,-5.497188,0.3118167
N1888,-0.5522211,-0.18075329,0.36285284,0.8965297
N3495,0.87898815,-0.3033298,0.69542265,-1.0354612
N2653,0.0040960833,0.43577138,-0.0035954416,-0.1774532
N228,-0.7193599,-0.60303015,2.483796,-0.010412607
N1461,0.716285,0.49036404,-1.4857886,0.61735773
N750,-3.4558334,0.2087917,1.2746168,-0.19476256
N4859,-0.96748024,0.1466186,-1.5347968,0.18521678
N1993,0.16000155,0.93817616,-0.18319353,-0.05476524
N4495,0.2839293,-4.3884954,0.8236736,5.9141965
N2940,0.46252048,-4.5597696,0.912416,5.7830853
N239,0.3399272,-4.522347,0.96014494,5.71252
N4051,-0.70655423,-0.37160406,-0.40075397,-0.55385834
N683,-0.80583787,0.51136124,1.2797071,-0.17652597
N3438,-0.16015878,0.71704966,-0.16011427,0.48215204
N1320,0.101795696,0.96875715,0.099099465,-0.55935645
N2630,-0.18103564,0.62999195,0.39650607,0.9428656
N456,0.969844,0.051201984,0.35305297,-1.629308
N4384,-0.48717573,0.023009734,-0.16294669,0.008434374
N4262,-2.21116,1.1229086,-2.6266875,-0.55191183
N361,-0.066667184,1.1622115,-0.6072832,0.5163205
N1956,0.10678849,-0.36412257,-2.2753305,0.36916417
N3512,0.16479874,-0.3715203,-2.3083944,0.1923651
N12,-1.8831307,-4.2391315,0.9594738,0.5635585
N3361,-0.17031935,0.67192894,-0.1296307,0.6582757
N173,-0.8901295,-0.60821784,1.202206,-0.19713138
N4593,-0.24095047,-0.69259113,0.08735659,0.14890641
N2863,0.79660463,-0.07222945,0.6354066,-1.1005558
N1084,-0.9511803,-0.54597765,1.1508832,-0.123364896
N1929,-0.1133603,-0.3644767,-0.038770024,0.50460356
N1304,-1.3868219,-0.49285898,1.1290497,-0.0015380904
N4018,2.3986967,-0.64240265,-0.45531628,-3.0002882
N4484,-1.4084843,-0.40723765,0.9061774,-0.34352425
N4821,5.067248,0.08016946,0.054816857,-0.5690498
N2734,4.8140225,0.015510881,-0.040149853,-0.5289308
N174,-0.5753781,0.5222454,0.045863435,-1.063079
N3303,-0.44411173,-0.1852937,0.7442737,0.40423265
N3423,0.12699974,0.46405897,0.46663034,-0.7870081
N3895,-1.7171512,-0.6341516,1.6311722,0.6168229
N3234,0.17681685,-0.1195272,4.686519,1.2361859
N4866,-1.010798,2.1124563,-0.7829612,-1.5118256
N813,-1.1762418,2.2050827,-0.78946847,-1.4601706
N3011,-1.5233855,0.6629595,-2.1128032,-0.6305893
N17,-0.48863247,-1.2079377,0.19950888,-1.6242727
N55,-1.5894054,0.92168003,-2.2166727,-0.55108553
N4363,-0.15260002,-2.600043,-1.2585263,1.3634713
N603,-0.07259143,-0.7391798,1.468964,1.1942639
N2411,0.042968303,1.3096426,-0.4034477,0.99815834
N2224,0.06869205,1.2675908,-0.09515849,0.006677348
N3685,0.16707352,-0.05381242,0.049119093,0.47455853
N2462,1.0816628,-0.6142802,0.39774272,-0.7643195
N3064,-3.2953973,-1.7600497,2.8703575,2.0569086
N72,-0.29166853,0.36086076,-0.4529299,-0.8080822
N2911,0.061265767,0.017288374,0.14842173,0.90124947
N1056,-3.8247695,-2.1974254,3.0621667,2.4017413
N2184,0.7508258,1.3369288,1.3374656,1.8905661
N4409,-0.5025735,1.4365418,-3.0603943,0.7505658
N2136,0.32674843,-0.13313746,-0.13653082,0.6030301
N2701,-0.637198,0.28701666,2.4506576,0.14481632
N2621,-3.618906,0.24090001,1.3388405,0.5543986
N3967,0.23304501,1.161363,-0.47995347,-0.31005374
N1144,-0.2313267,0.45134142,-0.12096803,0.34305042
N1145,-0.26999572,-0.11718892,0.6423722,0.4396505
N2932,-2.975285,0.06668837,0.9975956,-0.891711
N2667,-0.679306,0.33951122,-0.3308199,0.12275472
N1149,-0.15834992,0.97589815,0.75960594,-0.2299981
N4624,0.7821525,-0.5140147,0.48954576,-2.2107377
N1018,0.82949936,-0.52925324,0.07925589,-1.0952986
N1222,-1.1039099,0.13681811,-2.007099,-0.28678364
N4200,-0.19882247,0.93485546,-0.23324767,0.23286565
N4169,-0.6617853,-0.07712273,-0.22748166,-0.3914329
N380,0.49679804,0.2734482,0.39684865,-1.5526782
N4748,0.0975425,0.237275,0.01576107,0.8186615
N1713,-0.50460535,0.5627997,0.31378156,0.48208117
N2168,-0.5991375,0.5454886,0.07603226,-0.1293569
N4811,-1.4435587,-0.79001397,-2.3474226,-0.10217868
N2059,-0.37483215,0.98509717,0.19444132,-0.58891296
N2696,-2.8714683,-0.25396696,0.9141676,-0.8019811
N4416,-3.579245,0.17804125,1.1744347,-0.59113073
N1105,-0.357353,1.9007742,-3.5082443,1.2335027
N118,-0.3425476,1.6720968,-3.496737,0.8800513
N2386,-0.38724187,1.8934118,-3.4782038,1.0210685
N3192,-0.47087708,1.506247,-3.1882298,0.8856767
N4800,-0.73498446,-0.24428791,-0.008281607,-0.00020351261
N2675,-0.35895792,1.5814606,-3.1468167,0.7742123
N1542,-0.651283,0.0070590135,0.08642959,0.03508133
N2145,-0.3640147,0.5242673,1.5091575,1.9110812
N4322,0.73103184,1.2847185,1.5044231,2.4627845
N3614,0.8741166,1.0894433,1.5164304,2.4535666
N1155,-0.025440536,0.13885874,0.4620105,0.27792525
N1250,0.24998242,0.34303066,1.2170013,1.4804862
N2096,0.24382293,0.22367463,1.3113179,0.99168694
N3670,-0.46744543,0.07336544,-1.6231637,-0.66021466
N1802,0.037347607,-0.46541694,0.018243492,-0.5249316
N3404,1.269645,-0.20019957,0.12894204,-1.436281
N2009,-0.48817372,0.13186616,-1.7235683,-0.57070917
N3120,-0.49334058,0.7027888,-1.9170538,-0.4451804
N308,-1.4285314,-0.45518735,-0.781583,0.021008272
N2106,-1.5028543,-0.47532633,-0.6816469,0.14610784
N2254,-0.07263954,-0.6356279,0.85843307,-1.3956026
N1276,0.08567507,0.9826642,1.0299969,1.5099295
N2642,0.2881873,0.27218413,-0.28626394,0.72387195
N1290,0.51776284,0.3916455,-0.29831544,0.7232641
N3265,1.3577081,2.0613496,1.8912985,1.5478061
N3876,1.132111,1.3940563,2.3059607,2.2153409
N3115,-3.5797637,0.044316504,1.3715215,-0.8881399
N407,0.17045885,-0.11294656,-0.20509642,0.73237866
N798,0.4719119,-3.9266002,0.71029454,4.927914
N322,0.30830282,-3.9126225,0.7663863,4.919666
N2440,-0.5968521,0.6663898,0.39967352,0.3221192
N195,-3.688806,-0.4352768,1.0583904,-0.085337415
N391,-0.068737835,-4.400123,0.8737044,5.1674733
N1735,-0.36246392,0.022425668,-0.3971369,-0.4334733
N621,0.17533347,0.8235911,-0.3220818,0.0623256
N3479,-0.8172053,-0.17595229,-0.46085095,-0.13630922
N1201,-3.4639103,2.3043158,-3.734297,0.29723737
N2800,-3.6873953,2.2777526,-3.6216054,0.34542388
N3308,-3.641131,2.648851,-3.7426429,0.42984635
N4360,-2.9909577,1.7074022,-3.2038407,-0.17490421
N2999,-3.0464008,1.8013707,-3.294108,-0.017973352
N4275,-4.2002225,-1.184345,-4.5670195,0.16779661
N4780,-0.038905468,1.6080381,-0.5920523,0.6210395
N3588,1.4240046,1.5703015,1.4303589,1.7389979
N3725,-1.5172979,0.059924718,-2.0072718,-0.71909374
N929,0.49461174,-0.060780942,0.21826908,-1.1082013
N3972,-2.9631767,2.1439395,-3.403773,-0.13392133
N1408,-1.1236522,0.14680666,-2.5629506,-0.15960619
N22,-3.0566952,0.06456879,0.93699735,-0.01809726
N3454,-0.9462753,-2.2044783,-0.89539206,1.587313
N2790,0.27524814,1.3483899,-0.34278575,0.30559307
N146,-2.2926488,-0.49114951,0.8288319,-0.53602046
N4840,0.056117028,-0.8215449,0.4340353,0.6084086
N560,0.21409059,0.8629895,-0.42381537,0.021434683
N11,-0.41149205,0.15380967,0.3013179,0.2109239
N2269,-1.1368737,0.043070152,-2.316845,-0.5056153
N3225,-0.77817655,1.091819,0.32435712,0.01702172
N105,-0.2573287,1.5646994,-1.285122,1.5671655
N763,-1.7958066,-3.7212553,0.4229707,1.4598376
N1203,-1.723361,-4.3368835,0.47010458,0.8825394
N2710,-1.5800418,0.8117405,2.2265584,-0.41981605
N2334,-1.0046127,0.32303664,0.13917646,-0.06761604
N1513,1.6010802,-3.6093574,1.9162953,1.4991401
N4452,1.6730651,-3.579876,2.1129339,1.2300487
N355,4.286824,4.8062105,0.7430882,1.0221283
N4850,4.325009,4.531485,0.74609303,1.0164237
N1101,4.3607407,4.932824,0.7313895,1.0559834
N3998,4.287886,4.883872,0.67400706,1.1855943
N342,4.3853784,4.9956064,0.74779683,1.1078118
N4694,4.0038214,4.1348066,0.68475235,0.944038
N115,0.43281278,-3.145852,0.5279087,3.7319613
N3718,0.7009576,0.40292212,-0.10522677,0.88735175
N2101,0.7376553,-0.93623054,-0.36846685,0.9170361
N549,-0.5977609,0.23531032,0.22024074,0.21004738
N1386,0.14609328,1.1708251,-0.248737,-0.06541571
N82,0.022774272,1.2887284,-0.18688399,-0.110041164
N4129,-3.4326987,2.2853937,-3.6058364,-0.010536537
N2232,-1.3336154,-1.9126418,-4.364954,0.13844337
N1601,-1.1124389,0.38020423,-0.12491005,0.45561695
N4110,0.35583857,-0.05786536,-0.1269505,0.512348
N1746,0.18035954,0.7504404,0.15271801,-0.00088496506
N1798,-0.62826693,0.13651353,-0.057977833,-0.21520525
N2794,0.25396088,0.81569016,-0.50566256,0.31167766
N2260,0.33665007,0.6117502,-0.36412963,-1.5369214
N1442,-1.0246996,-0.24251139,-0.0828083,-1.3811555
N2130,0.63155806,-0.1729672,0.48479503,-0.9615403
N1615,-0.18094087,0.106881544,-0.542295,-0.8582697
N584,-0.17283294,0.18538013,-0.50851285,-0.58395505
N1868,-0.1646103,0.042659335,0.13641632,-0.46119818
N3680,1.0028177,-0.17211655,-0.42150342,1.2530893
N2664,-0.09758308,0.928238,-0.41969582,0.055072535
N3476,0.13958761,0.32906798,-0.70709455,0.5813029
N1416,0.022816941,1.521689,-0.6587794,0.9711423
N1389,-1.0443398,0.30554855,-2.5974398,-0.23130752
N3712,-0.9900627,1.7738917,-0.07796368,0.29803732
N1572,-0.41443014,0.26834485,0.72686404,0.5443731
N2188,-1.0309469,0.5234991,-0.1508294,0.30175126
N3287,0.13205189,0.39270827,0.7296257,0.068438634
N4344,0.1635468,0.4522547,-0.12233375,-0.71359414
N1827,-0.8253105,-0.121347226,-0.59725803,0.0495502
N3215,-1.6096102,-0.9953676,0.05761555,-0.25446478
N1565,1.5744189,-2.7081037,1.387648,0.46382612
N3630,1.2767879,-1.3234249,0.027505293,0.6764251
N1625,1.218547,-0.6061499,-0.37382048,0.50842315
N4974,-3.2290833,0.47677228,1.0309438,-0.43202028
N3573,-1.4012761,-1.6374284,-3.8359733,0.057569098
N3529,0.7365994,0.12504141,0.8590535,-1.1507884
N4833,0.9168252,-0.47752294,-0.21910751,0.75392145
N203,-0.77250946,-0.7503599,1.2163532,-0.4491802
N745,-0.06109826,1.7498907,-0.49929634,0.88058186
N598,0.018429033,1.8032949,-0.544701,0.9153796
N4215,0.32232472,0.9130642,-0.4825849,0.899606
N1631,-0.15573746,1.4064325,-1.1016757,0.90093863
N4112,-0.7006064,0.06416172,-0.35851103,-0.19448599
N2755,0.88900244,2.9801407,-0.7229605,0.63956887
N2539,0.9481375,3.2620606,-0.7946245,0.7871364
N2709,3.356403,3.4740872,0.6608099,0.908985
N340,-0.10583618,0.32168782,0.012684934,0.067567155
N2897,-3.049386,0.1439865,1.0662156,-0.36481524
N21,-1.2741332,0.26324874,-0.2492457,-0.42000687
N4865,-0.73486507,0.6551155,-1.4282362,-0.7653786
N1879,-1.3658242,-0.36751956,-2.3166358,-0.27118322
N4636,0.1590119,-1.0006034,0.52642447,-0.43432304
N3071,-1.9049422,-4.183631,1.0115435,0.54309016
N441,0.2840127,0.6043525,1.370268,-0.8007222
N2837,-0.59844637,0.34920895,0.334197,0.50091285
N3075,-0.22625142,0.17378974,0.55646735,0.40307182
N539,0.07010224,-0.21315205,-2.5379984,0.48020405
N1017,5.004453,0.04797389,0.010349996,-0.70759845
N1779,-0.3550898,0.5041854,1.0594437,0.97685695
N2249,0.24305993,-0.43369806,-0.13550457,0.87815124
N399,-0.21705034,0.81050235,0.3688333,0.48639542
N317,0.04015199,1.0903361,0.8901728,1.6475143
N2477,-0.050354093,1.2222499,0.84582365,1.6534922
N1805,0.0088363215,0.3601896,-0.3636338,-0.837746
N1106,-3.4193916,-2.0315192,2.9494994,2.0723846
N431,-0.84876674,0.36157507,0.32726407,0.16051224
N346,-0.7087509,0.30954856,2.5495226,0.054276798
N2070,-0.73178697,0.54641235,0.11715645,0.42240813
N2881,0.279715,0.39466617,-0.26492214,0.280217
N2207,0.57960385,-0.06344682,-0.03905893,-1.5760194
N3462,-0.15913853,0.35680798,-0.24780193,-0.115660876
N3314,-0.3488084,0.542481,-1.8431352,-0.7341279
N4770,-1.0164702,-0.3330431,-1.8613073,-0.81941533
N2399,-3.1305182,-0.08538647,1.0060793,-0.17534229
N1632,-0.33480766,0.2864905,-0.19925028,0.19067772
N4519,-1.0108424,0.45999703,0.028914325,-0.27206364
N663,-1.2683798,-0.5149641,-2.2122207,-0.3368883
N1645,-0.12626222,0.47741893,1.4219717,1.7195659
N2890,-1.030807,-1.1148508,1.9331932,0.6283757
N3046,-0.07581477,1.2817321,0.7702908,1.5830785
N593,0.74284846,-0.33092472,0.3784961,-0.8833036
N1060,-0.76265115,0.53004557,1.9962064,0.18586107
N3844,-0.51735634,0.60915595,-1.8288176,-0.5093166
N2861,-0.38679355,0.5079112,-1.4467492,-0.532965
N3378,-0.2208898,1.4055449,-0.7603157,0.49789923
N3368,-0.20107901,0.76635814,-0.50966346,0.41325143
N2523,0.15965709,1.1292505,1.0307285,-0.9138364
N3191,-0.1576428,0.87493503,-0.58152413,0.36753368
N2996,-1.3032877,0.11374067,1.2578843,-1.2382554
N221,-2.9783344,0.14942598,0.9947037,0.18542269
N2850,-0.96195424,0.3768001,-2.7473156,-0.1344314
N940,-0.52780277,0.36271656,0.08554264,0.24708994
N2053,0.13850427,1.5884603,-0.5277741,0.432325
N3662,-0.48273757,0.4953629,-1.8850988,-0.61432487
N4899,-0.3181752,-0.2289595,-0.06317397,0.12426445
N3977,-0.9158386,0.20721391,-2.7049568,-0.28596732
N831,1.672295,-0.28070575,-0.84676373,0.8553973
N1607,1.7852625,-0.3219838,-1.4063658,0.9145737
N2565,-1.1836052,0.27062318,-2.506203,-0.284855
N1257,-0.1717091,0.8481849,-0.28425133,0.40175155
N3338,-1.0131478,0.42815703,-2.314009,-0.14794838
N3706,-0.5529016,0.21853635,-0.0076494925,0.19279487
N3729,0.0070518777,0.28293535,0.15049568,-1.2585015
N1627,0.009998888,-0.46648297,-2.2029727,0.26304185
N1718,1.2731063,-0.22310239,-0.048802353,-1.1068592
N194,-0.8786972,0.416506,-2.5578434,-0.19689898
N4274,-0.23805872,0.7121889,0.5583918,0.5105264
N2944,1.3577687,-0.21729088,0.17744464,-0.9591307
N2552,0.116126634,0.15854362,0.1038541,0.5149359
N3207,0.21619841,-0.16364723,-2.4527845,0.2937463
N4079,0.26621163,-0.2849939,-2.540765,0.48416293
N1225,1.4276452,1.204808,0.46510643,0.3911535
N4036,0.40315017,1.0149581,-0.095919125,0.6719077
N3205,0.25019133,-0.17192268,-2.3665178,0.35836732
N2458,-1.0750067,-0.37260786,1.273279,0.25431228
N396,1.407276,2.6500494,-2.4250991,0.14062184
N3388,-2.3704486,0.638499,-0.25119057,1.6749905
N41,-2.4918303,0.29099375,-0.266224,2.1260502
N3697,-2.6475503,0.46902832,-0.3239787,2.1186998
N1592,-0.65175843,-1.09579,0.7359958,0.3107884
N661,-2.662436,0.63267356,-0.33843532,2.230847
N4183,-2.9292257,0.64619213,-0.3755891,2.4854748
N2326,-2.7881296,0.54804754,-0.37283128,2.4681718
N1613,-2.8556094,0.53660387,-0.38879716,2.4563434
N4937,1.1416252,-0.047680907,0.06570817,-1.55261
N2054,-0.12556066,1.4570336,-0.6685564,0.608531
N2355,1.3435563,1.3722712,2.652187,0.7807991
N4417,-0.53575385,0.40472138,0.18247876,0.46702617
N4148,0.43821687,0.6346635,0.44095153,0.5319417
N4741,0.011124916,1.074868,-0.6852802,0.9514963
N2845,0.46093118,0.70664215,-0.515462,-0.17469323
N158,0.9379542,2.041257,2.3214655,1.650168
N995,-1.2867836,0.2037149,1.3560518,0.58923745
N2966,-0.61132073,-0.15655181,0.5300234,0.74312574
N1432,0.24590072,0.15452978,0.38734,0.4182155
N79,-0.08371255,-0.3615061,-1.5988898,0.18736506
N3263,-1.2113922,-0.39129055,1.5413529,0.47131503
N953,0.2626911,0.11468089,-0.3032453,0.7746198
N2144,-0.02522897,-0.45152926,0.9479752,0.50693464
N1173,-1.7127079,0.73371506,-0.9818236,-0.26232645
N257,-1.945289,-0.93207544,1.7189527,0.5316401
N1523,-0.1865989,-0.7551354,-1.5050821,-0.16450086
N3714,-1.4372613,-0.35795948,-1.9354494,-0.28001252
N553,0.18197599,-0.3491271,0.21541867,-0.5736816
N2892,0.18891287,1.5427272,-0.5818327,0.7105211
N392,1.5109628,-0.10410971,-0.15196814,-1.2317303
N3850,0.22532612,0.61913013,1.3121514,-0.6319355
N1649,0.2282595,0.78308326,1.1568205,-0.8796205
N3452,0.39469132,0.5541113,1.3601781,-0.7004711
N992,0.07508392,-0.070860915,0.25793654,1.1044246
N3472,0.87424415,-0.33877903,-0.48523673,1.1132023
N4017,0.15335,-4.118107,0.8116818,5.1563654
N1867,0.34179452,-4.494495,0.9371776,5.355428
N4476,0.39713156,-4.4153376,0.96465045,5.29873
N3371,-1.9022291,0.80920845,-2.4587123,-0.65943307
N642,0.7741293,1.7211097,1.7309008,1.778896
N2120,0.8947792,-0.359685,0.23310032,-0.9180365
N2605,-0.05111517,1.1280892,-0.7555,0.078384906
N1003,0.60428697,0.3190206,1.1470597,-0.5695585
N4529,-0.9545809,0.11145788,-0.40214807,-0.5051422
N3602,3.7919095,3.7703643,0.66125757,1.0034757
N711,-0.5419281,0.10703906,0.24995354,0.10958317
N1575,-0.3854531,-0.32995433,0.46054482,-0.2691467
N2236,-0.4907087,-0.5859059,0.29075214,-0.24340789
N4346,-0.1029525,0.91560584,-0.6302532,-0.08500354
N1927,-0.12815736,1.5551169,-0.8310307,0.34598017
N950,2.3090785,4.1718283,-2.4704359,1.3124709
N3293,1.6480559,2.5264657,-1.2169242,0.44655514
N886,-0.68187016,0.9632491,0.080096416,-0.15071796
N3871,-2.3446417,-0.030676164,1.1642276,0.7071036
N1146,-0.788978,-1.0291257,-2.2540636,-0.5201579
N4673,-0.7691786,-1.0232337,-2.3237848,-0.5558107
N1280,-0.6197184,-0.35465696,-0.6829635,-0.32802957
N656,-1.3709582,-0.81382304,-2.5467556,-0.24509127
N4317,-1.0616596,1.379411,-0.8562128,-1.9504508
N3247,0.12281967,0.21017537,-0.42912275,0.47651154
N1769,-2.867409,0.32802427,3.4002457,-0.2696694
N318,-2.5490448,0.5508294,3.1535563,-0.35321873
N4465,-1.4799788,0.483296,0.06333179,1.321477
N4705,1.6931581,-0.7409593,0.16817206,-1.2209294
N521,-0.13351151,0.4726149,1.2103374,1.447949
N2338,-0.931956,0.08654295,-0.5345988,-0.6103144
N2600,-0.3099899,-0.75466275,1.2089789,1.3693471
N3774,-5.033437,-1.4106903,-5.403949,0.39077055
N2617,-5.411673,-1.7142674,-5.61253,0.25565958
N2893,-5.51112,-1.759461,-5.717532,0.1379624
N3487,-5.287329,-1.7070119,-5.491499,0.2444504
N238,-5.4963303,-1.7923434,-5.7574573,0.20105171
N4976,-5.2087517,-1.4853297,-5.5807824,0.40798306
N964,-5.5749164,-1.7493341,-5.7243924,0.2111396
N3945,-0.0850171,0.49583733,-0.03544832,-0.13672262
N1843,-0.18144721,-0.15396297,0.7561506,0.0046189986
N1086,-3.3728836,0.6677512,0.8864365,-0.90936846
N3873,1.4820476,-3.2018344,1.755066,1.2630347
N3852,-1.2642912,-0.29055864,1.1195834,0.25472113
N2771,-1.0640658,0.016501803,2.1962671,0.17933647
N2382,-0.72960645,0.27460143,-0.23958322,0.006078858
N48,-0.90126264,0.12350402,1.5530049,0.8251394
N3548,0.23419306,-0.5700578,-0.31190082,1.7788123
N1912,0.9544307,0.4215404,0.1768789,-1.4403881
N4161,-0.059871156,0.73655516,0.50770676,-0.5783995
N2536,1.8482364,-3.4798956,1.4513658,0.8686382
N4909,-3.11511,-1.7768375,2.6816454,1.9639521
N2778,0.18266687,1.0728195,0.048189327,0.4559232
N4622,-0.0023545474,1.5655056,0.74042886,0.5475653
N4335,-0.14795117,0.66702056,-0.24334595,0.29690924
N1360,-1.2357067,-0.3480876,1.0411841,0.26735592
