accession	source_database	name	taxId	scientificName	length	entry_accession	entry_protein_locations
A0A023EY38	unreviewed	Staphylococcal nuclease domain-containing protein	7160	Aedes albopictus	921	PF00565	46..162,219..327,369..492,553..664	
A0A023F6F3	unreviewed	TNase-like domain-containing protein	30076	Triatoma infestans	231	PF00565	136..194	
A0A023FLA3	unreviewed	Staphylococcal nuclease domain-containing protein	34607	Amblyomma cajennense	894	PF00565	44..152,212..315,355..482,541..648	
A0A023FP13	unreviewed	Staphylococcal nuclease domain-containing protein	34607	Amblyomma cajennense	895	PF00565	44..152,212..315,355..482,542..649	
A0A023G023	unreviewed	TNase-like domain-containing protein	251391	Amblyomma parvum	552	PF00565	44..152,212..315,354..482	
A0A023GMP7	unreviewed	TNase-like domain-containing protein	251400	Amblyomma triste	474	PF00565	44..152,212..315,354..474	
A0A023GN56	unreviewed	TNase-like domain-containing protein	251400	Amblyomma triste	525	PF00565	76..179,218..345,404..511	
A0A023GNV3	unreviewed	Staphylococcal nuclease domain-containing protein 1	251400	Amblyomma triste	605	PF00565	30..133,172..299,358..465	
A0A024G1V6	unreviewed	Staphylococcal nuclease domain-containing protein 1	65357	Albugo candida	927	PF00565	33..144,211..338,377..504,564..677,824..916	
A0A024S4Z3	unreviewed	Probable endonuclease LCL3	1344414	Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30)	885	PF00565	32..141,198..304,342..452,510..615	
A0A024SLP1	unreviewed	Probable endonuclease LCL3	1344414	Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30)	269	PF00565	135..244	
A0A024TDC1	unreviewed	TNase-like domain-containing protein	157072	Aphanomyces invadans	204	PF00565	92..204	
A0A024TEZ1	unreviewed	TNase-like domain-containing protein	157072	Aphanomyces invadans	183	PF00565	71..183	
A0A024U3I4	unreviewed	Uncharacterized protein	157072	Aphanomyces invadans	885	PF00565	34..141,196..306,346..471,533..640,784..876	
A0A024UZB7	unreviewed	Tudor domain-containing protein	1036723	Plasmodium falciparum Vietnam Oak-Knoll (FVO)	1092	PF00565	47..137,298..390,757..849	
A0A024VKU6	unreviewed	Tudor domain-containing protein	1036724	Plasmodium falciparum FCH/4	1051	PF00565	3..93,258..350,716..808	
A0A024W4T8	unreviewed	Tudor domain-containing protein	1036725	Plasmodium falciparum Tanzania (2000708)	1097	PF00565	47..137,302..394,762..854	
A0A024WML1	unreviewed	Tudor domain-containing protein	1036727	Plasmodium falciparum MaliPS096_E11	1096	PF00565	47..137,302..394,761..853	
A0A024X5A2	unreviewed	Tudor staphylococcal nuclease	5835	Plasmodium falciparum (isolate Camp / Malaysia)	1099	PF00565	47..137,304..396,764..856	
A0A026W3D1	unreviewed	Staphylococcal nuclease domain-containing protein	2015173	Ooceraea biroi	895	PF00565	39..155,221..317,351..476,536..645,798..880	
A0A034V5U3	unreviewed	Staphylococcal nuclease domain-containing protein	27457	Bactrocera dorsalis	928	PF00565	56..167,226..333,402..500,561..674	
A0A058ZD98	unreviewed	TNase-like domain-containing protein	691883	Fonticula alba	962	PF00565	39..149,374..483,545..663	
A0A058ZIS4	unreviewed	TNase-like domain-containing protein	691883	Fonticula alba	787	PF00565	94..205	
A0A059A3X3	unreviewed	Ribonuclease	71139	Eucalyptus grandis	990	PF00565	43..151,273..364,618..716,861..969	
A0A059A444	unreviewed	TNase-like domain-containing protein	71139	Eucalyptus grandis	794	PF00565	43..151,273..364,618..716	
A0A059A587	unreviewed	TNase-like domain-containing protein	71139	Eucalyptus grandis	818	PF00565	43..151,273..364,618..716	
A0A059A9B0	unreviewed	TNase-like domain-containing protein	71139	Eucalyptus grandis	219	PF00565	106..200	
A0A059A9M2	unreviewed	TNase-like domain-containing protein	71139	Eucalyptus grandis	342	PF00565	231..323	
A0A059A9T8	unreviewed	TNase-like domain-containing protein	71139	Eucalyptus grandis	218	PF00565	106..200	
A0A059A9V9	unreviewed	TNase-like domain-containing protein	71139	Eucalyptus grandis	364	PF00565	255..349	
A0A059AAM8	unreviewed	TNase-like domain-containing protein	71139	Eucalyptus grandis	101	PF00565	2..82	
A0A059AAN3	unreviewed	TNase-like domain-containing protein	71139	Eucalyptus grandis	344	PF00565	231..325	
A0A059ENU8	unreviewed	TNase-like domain-containing protein	1240240	Anncaliia algerae PRA109	210	PF00565	88..193	
A0A059EX19	unreviewed	TNase-like domain-containing protein	1288291	Anncaliia algerae PRA339	210	PF00565	88..193	
A0A059J0S4	unreviewed	Probable endonuclease LCL3	1215338	Trichophyton interdigitale (strain MR816)	883	PF00565	32..143,200..307,346..456,514..618,782..876	
A0A059JFJ8	unreviewed	Probable endonuclease LCL3	1215338	Trichophyton interdigitale (strain MR816)	283	PF00565	143..255	
A0A060S0B1	unreviewed	Tudor staphylococcal nuclease	5854	Plasmodium reichenowi	1101	PF00565	47..137,309..401,766..858	
A0A060S6V6	unreviewed	TNase-like domain-containing protein	5643	Pycnoporus cinnabarinus	320	PF00565	147..262	
A0A060SAB4	unreviewed	Transcription factor	5643	Pycnoporus cinnabarinus	861	PF00565	8..98,156..279,327..436,497..603	
A0A060T1U5	unreviewed	Probable endonuclease LCL3	409370	Blastobotrys adeninivorans	241	PF00565	116..225	
A0A060T6M7	unreviewed	ARAD1B13354p	409370	Blastobotrys adeninivorans	855	PF00565	183..287,328..437,496..596	
A0A060YUM1	unreviewed	TNase-like domain-containing protein	8022	Oncorhynchus mykiss	297	PF00565	2..78	
A0A061B072	unreviewed	Transcription factor	5286	Rhodotorula toruloides	937	PF00565	406..515,575..675	
A0A061BAP8	unreviewed	Probable endonuclease LCL3	36022	Cyberlindnera fabianii	229	PF00565	101..209	
A0A061BE24	unreviewed	TNase-like domain-containing protein	36022	Cyberlindnera fabianii	515	PF00565	46..151,198..298,368..458	
A0A061BGZ9	unreviewed	TNase-like domain-containing protein	5286	Rhodotorula toruloides	251	PF00565	122..232	
A0A061EDS1	unreviewed	TNase-like domain-containing protein	3641	Theobroma cacao	334	PF00565	222..316	
A0A061EK02	unreviewed	TNase-like domain-containing protein	3641	Theobroma cacao	352	PF00565	240..334	
A0A061EMD8	unreviewed	TNase-like domain-containing protein	3641	Theobroma cacao	182	PF00565	77..120	
A0A061EXS5	unreviewed	TNase-like domain-containing protein	3641	Theobroma cacao	141	PF00565	44..116	
A0A061FJY4	unreviewed	TNase-like domain-containing protein	3641	Theobroma cacao	335	PF00565	223..317	
A0A061FKQ6	unreviewed	TNase-like domain-containing protein	3641	Theobroma cacao	345	PF00565	223..308	
A0A061FLX3	unreviewed	TNase-like domain-containing protein	3641	Theobroma cacao	293	PF00565	223..280	
A0A061FYW9	unreviewed	Ribonuclease	3641	Theobroma cacao	995	PF00565	43..151,272..365,619..717,867..971	
A0A061FZP5	unreviewed	TNase-like domain-containing protein	3641	Theobroma cacao	722	PF00565	43..151,272..365,619..712	
A0A061G029	unreviewed	TNase-like domain-containing protein	3641	Theobroma cacao	721	PF00565	43..151,272..365,619..712	
A0A061J9T9	unreviewed	TNase-like domain-containing protein	429131	Trypanosoma rangeli SC58	244	PF00565	97..202	
A0A061R1Y3	unreviewed	Ribonuclease	582737	Tetraselmis sp. GSL018	959	PF00565	226..325,364..494,562..675	
A0A061RWM3	unreviewed	TNase-like domain-containing protein	582737	Tetraselmis sp. GSL018	73	PF00565	4..64	
A0A061S7B9	unreviewed	TNase-like domain-containing protein	582737	Tetraselmis sp. GSL018	604	PF00565	226..325,364..470	
A0A063BXR8	unreviewed	Probable endonuclease LCL3	1159556	Ustilaginoidea virens	262	PF00565	131..240	
A0A063C9I5	unreviewed	Probable endonuclease LCL3	1159556	Ustilaginoidea virens	883	PF00565	32..141,198..304,341..451,509..614	
A0A066VPG3	unreviewed	TNase-like domain-containing protein	1037660	Tilletiaria anomala (strain ATCC 24038 / CBS 436.72 / UBC 951)	319	PF00565	172..297	
A0A066VXE3	unreviewed	TNase-like domain-containing protein	1287689	Rhizoctonia solani AG-8 WAC10335	349	PF00565	207..322	
A0A066WS38	unreviewed	Transcription factor	1037660	Tilletiaria anomala (strain ATCC 24038 / CBS 436.72 / UBC 951)	986	PF00565	233..365,423..540,600..706	
A0A066X9S5	unreviewed	Probable endonuclease LCL3	1173701	Colletotrichum sublineola	889	PF00565	32..142,198..306,344..454,512..616	
A0A066XJC0	unreviewed	Probable endonuclease LCL3	1173701	Colletotrichum sublineola	273	PF00565	133..242	
A0A067C0V4	unreviewed	Tudor domain-containing protein	695850	Saprolegnia parasitica (strain CBS 223.65)	864	PF00565	34..141,195..305,525..605,763..854	
A0A067CMC7	reviewed	Endonuclease Htp3	695850	Saprolegnia parasitica (strain CBS 223.65)	211	PF00565	89..197	
A0A067CVU8	unreviewed	TNase-like domain-containing protein	695850	Saprolegnia parasitica (strain CBS 223.65)	250	PF00565	122..232	
A0A067ER55	unreviewed	Ribonuclease	2711	Citrus sinensis	944	PF00565	192..287,569..667,816..920	
A0A067ER60	unreviewed	TNase-like domain-containing protein	2711	Citrus sinensis	792	PF00565	43..151,268..363,645..743	
A0A067ERB8	unreviewed	TNase-like domain-containing protein	2711	Citrus sinensis	845	PF00565	43..151,268..363,645..743	
A0A067EUU1	unreviewed	Ribonuclease	2711	Citrus sinensis	1019	PF00565	43..150,267..362,644..742,891..995	
A0A067EUU6	unreviewed	Ribonuclease	2711	Citrus sinensis	906	PF00565	154..249,531..629,778..882	
A0A067EUV1	unreviewed	TNase-like domain-containing protein	2711	Citrus sinensis	784	PF00565	43..151,268..363,645..743	
A0A067F2F5	unreviewed	TNase-like domain-containing protein	2711	Citrus sinensis	841	PF00565	43..151,268..363,645..743	
A0A067F379	unreviewed	Ribonuclease	2711	Citrus sinensis	1020	PF00565	43..151,268..363,645..743,892..996	
A0A067F385	unreviewed	Ribonuclease	2711	Citrus sinensis	863	PF00565	43..151,268..363,645..743	
A0A067JF85	unreviewed	Ribonuclease	180498	Jatropha curcas	989	PF00565	42..150,271..363,616..714,861..966	
A0A067JQC7	unreviewed	TNase-like domain-containing protein	180498	Jatropha curcas	335	PF00565	223..317	
A0A067M875	unreviewed	TNase-like domain-containing protein	930990	Botryobasidium botryosum FD-172 SS1	218	PF00565	114..218	
A0A067MG92	unreviewed	TNase-like domain-containing protein	930990	Botryobasidium botryosum FD-172 SS1	269	PF00565	127..239	
A0A067MLC6	unreviewed	TNase-like domain-containing protein	930990	Botryobasidium botryosum FD-172 SS1	222	PF00565	85..198	
A0A067N1K6	unreviewed	Transcription factor	930990	Botryobasidium botryosum FD-172 SS1	906	PF00565	36..142,200..322,374..483,543..649	
A0A067N6U0	unreviewed	TNase-like domain-containing protein	1137138	Pleurotus ostreatus PC15	176	PF00565	8..124	
A0A067NJ47	unreviewed	Transcription factor	1137138	Pleurotus ostreatus PC15	905	PF00565	35..141,199..320,368..477,538..643	
A0A067PFP2	unreviewed	Transcription factor	933084	Jaapia argillacea MUCL 33604	921	PF00565	35..143,201..326,383..492,553..659	
A0A067PM71	unreviewed	TNase-like domain-containing protein	933084	Jaapia argillacea MUCL 33604	336	PF00565	168..282	
A0A067RA05	unreviewed	Staphylococcal nuclease domain-containing protein	136037	Zootermopsis nevadensis	946	PF00565	83..195,254..361,400..526,587..696	
A0A067SSS3	unreviewed	TNase-like domain-containing protein	685588	Galerina marginata (strain CBS 339.88)	293	PF00565	130..245	
A0A067T0E8	unreviewed	Transcription factor	685588	Galerina marginata (strain CBS 339.88)	910	PF00565	35..141,211..322,374..483,544..650	
A0A068CHG9	unreviewed	Probable endonuclease LCL3	573508	Aspergillus cristatus	887	PF00565	199..307,345..455,513..618,831..880	
A0A068RJ66	unreviewed	Transcription factor	1263082	Lichtheimia corymbifera JMRC:FSU:9682	890	PF00565	40..149,207..315,383..475,534..638	
A0A068TSG2	unreviewed	Ribonuclease	49390	Coffea canephora	986	PF00565	40..148,271..362,409..551,613..711,858..964	
A0A068UZH5	unreviewed	TNase-like domain-containing protein	49390	Coffea canephora	324	PF00565	212..306	
A0A068WCY3	unreviewed	TNase-like domain-containing protein	6210	Echinococcus granulosus	346	PF00565	38..155,216..325	
A0A068WHM3	unreviewed	Staphylococcal nuclease domain-containing protein	6210	Echinococcus granulosus	1008	PF00565	35..153,214..324,389..499,582..698	
A0A068YLF1	unreviewed	Staphylococcal nuclease domain-containing protein	6211	Echinococcus multilocularis	1008	PF00565	35..153,214..324,389..499,582..698	
A0A068YLS5	unreviewed	TNase-like domain-containing protein	6211	Echinococcus multilocularis	346	PF00565	38..156,216..325	
A0A069DWR7	unreviewed	Staphylococcal nuclease domain-containing protein 1	65343	Panstrongylus megistus	896	PF00565	49..158,217..328,362..490,570..647,803..879	
A0A072PJN3	unreviewed	Probable endonuclease LCL3	1182545	Exophiala aquamarina CBS 119918	287	PF00565	150..260	
A0A072PNL9	unreviewed	Probable endonuclease LCL3	1182545	Exophiala aquamarina CBS 119918	834	PF00565	2..95,151..257,296..406,464..569,773..827	
A0A074SCQ5	unreviewed	Transcription factor	1423351	Rhizoctonia solani 123E	900	PF00565	34..140,198..322,366..476,536..642	
A0A074T063	unreviewed	TNase-like domain-containing protein	1423351	Rhizoctonia solani 123E	266	PF00565	123..238	
A0A074W6F2	unreviewed	Probable endonuclease LCL3	1043003	Aureobasidium melanogenum CBS 110374	279	PF00565	129..239	
A0A074WB87	unreviewed	Probable endonuclease LCL3	1043003	Aureobasidium melanogenum CBS 110374	886	PF00565	197..306,344..454,512..617	
A0A074X3R6	unreviewed	Probable endonuclease LCL3	1043002	Aureobasidium pullulans EXF-150	281	PF00565	131..241	
A0A074X5Q7	unreviewed	Probable endonuclease LCL3	1043004	Aureobasidium namibiae CBS 147.97	279	PF00565	129..239	
A0A074XDM2	unreviewed	Probable endonuclease LCL3	1043002	Aureobasidium pullulans EXF-150	886	PF00565	197..306,344..454,512..617	
A0A074XS79	unreviewed	Probable endonuclease LCL3	1043004	Aureobasidium namibiae CBS 147.97	886	PF00565	197..306,344..454,512..617	
A0A074Y716	unreviewed	Probable endonuclease LCL3	1043005	Aureobasidium subglaciale (strain EXF-2481)	279	PF00565	129..239	
A0A074Z367	unreviewed	Probable endonuclease LCL3	1043005	Aureobasidium subglaciale (strain EXF-2481)	886	PF00565	197..306,344..454,512..617	
A0A075A191	unreviewed	Staphylococcal nuclease domain-containing protein	6198	Opisthorchis viverrini	1013	PF00565	36..153,215..322,376..500,558..698	
A0A075AQ03	unreviewed	TNase-like domain-containing protein	988480	Rozella allomycis (strain CSF55)	230	PF00565	96..196	
A0A075AVZ2	unreviewed	TNase-like domain-containing protein	988480	Rozella allomycis (strain CSF55)	785	PF00565	24..118,172..274,308..420,488..573,689..776	
A0A077QSI7	unreviewed	TNase-like domain-containing protein	1398559	Melanopsichium pennsylvanicum 4	309	PF00565	133..166,197..291	
A0A077R1M9	unreviewed	TNase-like domain-containing protein	1398559	Melanopsichium pennsylvanicum 4	510	PF00565	251..385	
A0A077R1N8	unreviewed	Transcription factor	1398559	Melanopsichium pennsylvanicum 4	481	PF00565	74..180	
A0A077RSX7	unreviewed	TNase-like domain-containing protein	4565	Triticum aestivum	425	PF00565	314..406	
A0A077WSX8	unreviewed	TNase-like domain-containing protein	688394	Lichtheimia ramosa	239	PF00565	107..216	
A0A077WWA4	unreviewed	Transcription factor	688394	Lichtheimia ramosa	890	PF00565	40..149,207..315,382..475,534..638	
A0A077ZC78	unreviewed	Staphylococcal nuclease domain-containing protein	36087	Trichuris trichiura	921	PF00565	48..161,216..323,363..488,561..669	
A0A077ZG94	unreviewed	TNase-like domain-containing protein	36087	Trichuris trichiura	283	PF00565	93..186	
A0A078A268	unreviewed	Staphylococcal nuclease domain-containing protein 1-like	5949	Stylonychia lemnae	867	PF00565	38..142,521..625,760..858	
A0A078FP03	unreviewed	Ribonuclease	3708	Brassica napus	1010	PF00565	40..147,270..363,410..551,613..710,855..964	
A0A078G2I0	unreviewed	TNase-like domain-containing protein	3708	Brassica napus	333	PF00565	222..316	
A0A078GPT0	unreviewed	TNase-like domain-containing protein	3708	Brassica napus	326	PF00565	208..308	
A0A078HYB5	unreviewed	BnaAnng07020D protein	3708	Brassica napus	1355	PF00565	417..527,647..741,787..920,983..1080,1230..1335	
A0A078IUR8	unreviewed	Ribonuclease	3708	Brassica napus	1000	PF00565	40..147,271..364,411..552,614..711,856..965	
A0A078JM93	unreviewed	BnaCnng59840D protein	3708	Brassica napus	899	PF00565	43..154,274..368,414..548,611..708	
A0A078K1A6	unreviewed	Tudor domain-containing protein	3708	Brassica napus	353	PF00565	1..78,227..333	
A0A078K7Q1	unreviewed	Tudor staphylococcal nuclease, putative	5861	Plasmodium yoelii	1013	PF00565	33..137,251..351,676..763	
A0A081A2Z5	unreviewed	Uncharacterized protein	1317066	Phytophthora parasitica P1976	919	PF00565	34..147,204..318,360..486,548..667,814..907	
A0A081AT23	unreviewed	TNase-like domain-containing protein	1317066	Phytophthora parasitica P1976	243	PF00565	116..226	
A0A084AKZ1	unreviewed	Probable endonuclease LCL3	1280523	Stachybotrys chartarum (strain CBS 109288 / IBT 7711)	264	PF00565	130..239	
A0A084AU33	unreviewed	Probable endonuclease LCL3	1280523	Stachybotrys chartarum (strain CBS 109288 / IBT 7711)	890	PF00565	32..140,198..304,342..452,510..615	
A0A084GB55	unreviewed	Probable endonuclease LCL3	563466	Pseudallescheria apiosperma	204	PF00565	60..178	
A0A084QEB9	unreviewed	Probable endonuclease LCL3	1283841	Stachybotrys chlorohalonata (strain IBT 40285)	890	PF00565	32..140,198..304,342..452,510..615	
A0A084QR99	unreviewed	Probable endonuclease LCL3	1283841	Stachybotrys chlorohalonata (strain IBT 40285)	603	PF00565	469..578	
A0A084W495	unreviewed	Staphylococcal nuclease domain-containing protein	74873	Anopheles sinensis	916	PF00565	47..161,221..329,382..486,547..658	
A0A085NUH9	unreviewed	Staphylococcal nuclease domain-containing protein	68888	Trichuris suis	927	PF00565	48..161,216..345,402..494,567..675	
A0A086J9I0	unreviewed	TNase-like domain-containing protein	943119	Toxoplasma gondii p89	629	PF00565	323..421,534..609	
A0A086JCD4	unreviewed	Nuclease and tudor domain-containing protein	1130820	Toxoplasma gondii GAB2-2007-GAL-DOM2	941	PF00565	32..140,224..320,358..496,559..676	
A0A086JPM7	unreviewed	Nuclease and tudor domain-containing protein	943167	Toxoplasma gondii FOU	873	PF00565	32..140,224..320,358..496,559..676	
A0A086JRA5	unreviewed	TNase-like domain-containing protein	943167	Toxoplasma gondii FOU	629	PF00565	323..421,534..609	
A0A086K4V7	unreviewed	Nuclease and tudor domain-containing protein	943119	Toxoplasma gondii p89	941	PF00565	32..140,224..320,358..496,559..676	
A0A086KDX5	unreviewed	TNase-like domain-containing protein	943119	Toxoplasma gondii p89	449	PF00565	127..194,253..298	
A0A086KLQ4	unreviewed	TNase-like domain-containing protein	1130820	Toxoplasma gondii GAB2-2007-GAL-DOM2	449	PF00565	127..195,253..298	
A0A086KU63	unreviewed	TNase-like domain-containing protein	1130820	Toxoplasma gondii GAB2-2007-GAL-DOM2	629	PF00565	323..421,534..609	
A0A086L5C2	unreviewed	TNase-like domain-containing protein	943167	Toxoplasma gondii FOU	449	PF00565	127..194,253..298	
A0A086LJV7	unreviewed	Nuclease and tudor domain-containing protein	935652	Toxoplasma gondii RUB	941	PF00565	32..140,224..320,358..496,559..676	
A0A086LK41	unreviewed	TNase-like domain-containing protein	935652	Toxoplasma gondii RUB	629	PF00565	323..421,534..609	
A0A086LWB5	unreviewed	TNase-like domain-containing protein	935652	Toxoplasma gondii RUB	449	PF00565	127..194,253..298	
A0A086PGX2	unreviewed	Nuclease and tudor domain-containing protein	933077	Toxoplasma gondii VAND	941	PF00565	32..140,224..320,358..496,559..676	
A0A086PH13	unreviewed	TNase-like domain-containing protein	933077	Toxoplasma gondii VAND	629	PF00565	323..421,534..609	
A0A086PR05	unreviewed	Nuclease and tudor domain-containing protein	943118	Toxoplasma gondii MAS	817	PF00565	32..140,224..320,358..496,559..676	
A0A086PR12	unreviewed	TNase-like domain-containing protein	943118	Toxoplasma gondii MAS	111	PF00565	38..90	
A0A086PVF0	unreviewed	TNase-like domain-containing protein	943118	Toxoplasma gondii MAS	629	PF00565	323..421,534..609	
A0A086QAX9	unreviewed	TNase-like domain-containing protein	943118	Toxoplasma gondii MAS	449	PF00565	127..194,253..298	
A0A086QKF7	unreviewed	TNase-like domain-containing protein	933077	Toxoplasma gondii VAND	449	PF00565	127..194,253..298	
A0A086SY74	unreviewed	Probable endonuclease LCL3	857340	Hapsidospora chrysogenum (strain ATCC 11550 / CBS 779.69 / DSM 880 / IAM 14645 / JCM 23072 / IMI 49137)	885	PF00565	32..141,198..304,342..452,510..615	
A0A086TFJ1	unreviewed	Probable endonuclease LCL3	857340	Hapsidospora chrysogenum (strain ATCC 11550 / CBS 779.69 / DSM 880 / IAM 14645 / JCM 23072 / IMI 49137)	265	PF00565	131..240	
A0A087GIV1	unreviewed	TNase-like domain-containing protein	50452	Arabis alpina	333	PF00565	222..316	
A0A087GQW2	unreviewed	TNase-like domain-containing protein	50452	Arabis alpina	104	PF00565	43..99	
A0A087QP00	unreviewed	TNase-like domain-containing protein	9233	Aptenodytes forsteri	670	PF00565	74..122,176..293,334..461,519..625	
A0A087SAQ2	unreviewed	TNase-like domain-containing protein	3075	Auxenochlorella protothecoides	176	PF00565	49..156	
A0A087SNJ1	unreviewed	Ribonuclease	3075	Auxenochlorella protothecoides	893	PF00565	39..145,220..325,366..467,511..616,765..868	
A0A087ULG5	unreviewed	Staphylococcal nuclease domain-containing protein 1	407821	Stegodyphus mimosarum	888	PF00565	41..152,216..320,360..480,540..645	
A0A087X8U7	unreviewed	Staphylococcal nuclease domain-containing protein	48698	Poecilia formosa	911	PF00565	50..166,220..328,367..496,554..661	
A0A088RIS2	unreviewed	TNase-like domain-containing protein	5679	Leishmania panamensis	224	PF00565	57..168	
A0A088RXU6	unreviewed	Uncharacterized protein	5679	Leishmania panamensis	933	PF00565	30..142,215..298,387..504,571..674	
A0A090CAB6	unreviewed	Probable endonuclease LCL3	515849	Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383)	883	PF00565	197..303,341..451,509..615	
A0A090KV75	unreviewed	LD20211p	34506	Strongyloides ratti	1180	PF00565	346..447,504..604,675..765,824..931	
A0A090N3R8	unreviewed	TNase-like domain-containing protein	70448	Ostreococcus tauri	403	PF00565	77..208	
A0A091DB07	unreviewed	TNase-like domain-containing protein	885580	Fukomys damarensis	422	PF00565	50..166,220..327	
A0A091DFQ1	unreviewed	Staphylococcal nuclease domain-containing protein 1	885580	Fukomys damarensis	348	PF00565	31..97,285..332	
A0A091E2M7	unreviewed	TNase-like domain-containing protein	885580	Fukomys damarensis	390	PF00565	204..252	
A0A091F116	unreviewed	Staphylococcal nuclease domain-containing protein 1	85066	Corvus brachyrhynchos	735	PF00565	25..72,126..242,486..588	
A0A091FNE4	unreviewed	Serine/threonine-protein kinase 31	55661	Cuculus canorus	984	PF00565	129..209	
A0A093GW27	unreviewed	Staphylococcal nuclease domain-containing protein 1	118200	Dryobates pubescens	852	PF00565	74..121,175..288,329..456,514..620	
A0A093US24	unreviewed	Probable endonuclease LCL3	1077442	Talaromyces marneffei PM1	671	PF00565	492..609	
A0A093UV35	unreviewed	Probable endonuclease LCL3	1077442	Talaromyces marneffei PM1	855	PF00565	30..139,199..304,343..453,511..616,800..848	
A0A093XMH6	unreviewed	Probable endonuclease LCL3	1437433	Pseudogymnoascus sp. VKM F-3557	922	PF00565	73..181,240..346,384..494,552..657	
A0A093YCK2	unreviewed	Probable endonuclease LCL3	1391699	Pseudogymnoascus sp. VKM F-3808	922	PF00565	73..181,240..346,384..494,552..657	
A0A093ZH48	unreviewed	Probable endonuclease LCL3	1420902	Pseudogymnoascus sp. VKM F-4246	970	PF00565	122..230,289..395,432..542,600..705	
A0A093ZRS3	unreviewed	Probable endonuclease LCL3	1437433	Pseudogymnoascus sp. VKM F-3557	279	PF00565	127..236	
A0A093ZY65	unreviewed	Probable endonuclease LCL3	1420901	Pseudogymnoascus sp. VKM F-3775	968	PF00565	119..227,286..392,430..540,598..703	
A0A094AGB6	unreviewed	Probable endonuclease LCL3	1420906	Pseudogymnoascus sp. VKM F-4281 (FW-2241)	983	PF00565	134..242,301..407,445..555,613..718	
A0A094ANL8	unreviewed	Probable endonuclease LCL3	1420906	Pseudogymnoascus sp. VKM F-4281 (FW-2241)	279	PF00565	127..236	
A0A094AST4	unreviewed	Probable endonuclease LCL3	1391699	Pseudogymnoascus sp. VKM F-3808	279	PF00565	127..236	
A0A094AUS9	unreviewed	Probable endonuclease LCL3	1420901	Pseudogymnoascus sp. VKM F-3775	279	PF00565	127..236	
A0A094BGB5	unreviewed	Probable endonuclease LCL3	1420907	Pseudogymnoascus sp. VKM F-4513 (FW-928)	970	PF00565	122..230,289..395,432..542,600..705	
A0A094C5A0	unreviewed	Probable endonuclease LCL3	1420909	Pseudogymnoascus sp. VKM F-4515 (FW-2607)	279	PF00565	127..236	
A0A094DTF9	unreviewed	Probable endonuclease LCL3	1420910	Pseudogymnoascus sp. VKM F-4516 (FW-969)	922	PF00565	73..181,240..346,384..494,552..657	
A0A094E0R5	unreviewed	Probable endonuclease LCL3	1420907	Pseudogymnoascus sp. VKM F-4513 (FW-928)	279	PF00565	127..236	
A0A094E739	unreviewed	Probable endonuclease LCL3	1420909	Pseudogymnoascus sp. VKM F-4515 (FW-2607)	969	PF00565	120..228,287..393,431..541,599..704	
A0A094ERG8	unreviewed	Probable endonuclease LCL3	1420912	Pseudogymnoascus sp. VKM F-103	321	PF00565	127..236	
